["port 1","BOTTOM"]
["port 2","BOTTOM"]
["port 3","TOP"]
["port 4","TOP"]
("port 1","mode 1",1,"port 1",1,"transmission")
(23, 3)
1.8737028624999997e+14 3.7978081108320967e-03 -1.8838440373590823e+00
1.8799485387083331e+14 2.6982171261781484e-03 -1.4323994435077725e+00
1.8861942149166662e+14 1.8873326381132873e-03 -1.1245288362680361e+00
1.8924398911249997e+14 1.7354343017673569e-03 -9.4740835564477777e-01
1.8986855673333331e+14 2.0108767752584130e-03 -5.0743629379736455e-01
1.9049312435416662e+14 1.8530314686761595e-03 1.0529264564705910e-01
1.9111769197499997e+14 1.0482986915035231e-03 2.3824113103439110e-01
1.9174225959583331e+14 1.9528493601347089e-03 -2.9171465913331962e-01
1.9236682721666666e+14 3.6576276034001182e-03 2.8710309754228158e-01
1.9299139483749997e+14 4.1275276155164431e-03 1.0173676888583698e+00
1.9359660086208747e+14 3.0932840240585529e-03 1.5865912266042612e+00
1.9361596245833331e+14 3.0465021369922934e-03 1.5980346102696341e+00
1.9363532405457916e+14 3.0004408552852108e-03 1.6088145329019625e+00
1.9424053007916666e+14 2.1977626477958593e-03 1.5757699428990277e+00
1.9486509769999997e+14 3.1260937490092673e-03 1.8378516797966766e+00
1.9548966532083331e+14 3.4342573107048395e-03 2.7068779899587727e+00
1.9611423294166666e+14 2.7398328638363998e-03 3.8528625698216890e+00
1.9673880056250000e+14 1.7747267571738669e-03 5.0367189317274974e+00
1.9736336818333331e+14 9.6124251674213580e-04 5.1941151962626666e+00
1.9798793580416666e+14 2.5934272952337170e-03 5.1904443475318995e+00
1.9861250342500000e+14 4.3807856857123956e-03 5.9801893378052480e+00
1.9923707104583331e+14 4.3644081158513443e-03 6.7480942890017097e+00
1.9986163866666666e+14 2.7829810567811912e-03 7.0568759463535509e+00
("port 1","mode 1",1,"port 2",1,"transmission")
(23, 3)
1.8737028624999997e+14 9.2046211812916834e-01 -2.4430821702953240e+00
1.8799485387083331e+14 9.2363487626646257e-01 -1.2176242701398252e+00
1.8861942149166662e+14 9.2664937681852244e-01 7.4109715780755073e-03
1.8924398911249997e+14 9.2951626671415377e-01 1.2320386864789044e+00
1.8986855673333331e+14 9.3224696588042077e-01 2.4562663164269298e+00
1.9049312435416662e+14 9.3482696645165098e-01 3.6800683845111748e+00
1.9111769197499997e+14 9.3729775881575783e-01 4.9034397174727875e+00
1.9174225959583331e+14 9.3966622814211043e-01 6.1263783208325160e+00
1.9236682721666666e+14 9.4192673450485742e-01 7.3489128948965652e+00
